Modelo;Configuracao;MSE_TRAIN_mean;MSE_TRAIN_std;RMSE_TRAIN_mean;RMSE_TRAIN_std;MAE_TRAIN_mean;MAE_TRAIN_std;CSI_TRAIN_mean;CSI_TRAIN_std;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;CSI_mean;CSI_std;Tempo_treinamento_mean;Tempo_treinamento_std
BiLSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;1,995;0,291;1,409;0,102;0,622;0,043;0,724;0,019;209,168;30,702;14,428;1,054;7,498;1,046;0,188;0,031;3,662;0,009
BiLSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;1,404;0,529;1,168;0,208;0,508;0,106;0,785;0,046;227,024;27,932;15,042;0,928;7,894;0,668;0,186;0,032;7,149;0,035
BiLSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;13,647;2,726;3,679;0,355;1,746;0,148;0,469;0,012;257,454;76,760;15,894;2,316;8,485;1,625;0,218;0,046;3,543;0,033
BiLSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;5,555;2,806;2,301;0,536;1,049;0,248;0,579;0,042;223,470;53,516;14,856;1,751;7,819;1,390;0,187;0,048;3,570;0,033
LSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;0,934;1,704;0,777;0,605;0,403;0,271;0,826;0,116;214,297;29,843;14,606;1,033;7,930;0,502;0,161;0,045;2,736;0,024
LSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;0,154;0,103;0,376;0,116;0,189;0,055;0,933;0,026;209,116;25,700;14,436;0,896;7,789;0,764;0,160;0,020;4,482;0,033
LSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;12,501;14,287;3,212;1,558;1,577;0,716;0,468;0,049;272,369;67,353;16,404;1,907;9,414;1,041;0,155;0,030;2,730;0,025
LSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;0,718;0,333;0,823;0,211;0,428;0,108;0,785;0,061;255,263;73,701;15,826;2,307;8,906;1,636;0,170;0,055;2,716;0,040
